Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
167	0.8752	0.8286	0.7908	0.7765	0.7615	0.7021	0.5601	0.7021	0.7306
168	0.8754	0.8338	0.7708	0.7643	0.7103	0.7305	0.5262	0.7305	0.7203
169	0.8734	0.8252	0.7908	0.7697	0.7881	0.6596	0.5539	0.6596	0.7181
170	0.8778	0.8352	0.7994	0.7849	0.7752	0.7092	0.5777	0.7092	0.7407
171	0.8719	0.8263	0.7679	0.7573	0.7174	0.7021	0.5164	0.7021	0.7097
172	0.8779	0.8324	0.7708	0.7700	0.6968	0.7660	0.5315	0.7660	0.7297
173	0.8791	0.8359	0.7966	0.7859	0.7574	0.7305	0.5751	0.7305	0.7437
174	0.8752	0.8326	0.7822	0.7636	0.7642	0.6667	0.5383	0.6667	0.7121
175	0.8752	0.8317	0.7908	0.7743	0.7698	0.6879	0.5581	0.6879	0.7266
176	0.8764	0.8341	0.7937	0.7801	0.7634	0.7092	0.5667	0.7092	0.7353
177	0.8755	0.8372	0.7765	0.7668	0.7266	0.7163	0.5348	0.7163	0.7214
178	0.8742	0.8273	0.7937	0.7767	0.7760	0.6879	0.5636	0.6879	0.7293
179	0.8749	0.8325	0.7794	0.7669	0.7388	0.7021	0.5382	0.7021	0.7200
180	0.8759	0.8373	0.7880	0.7833	0.7279	0.7589	0.5627	0.7589	0.7431
181	0.8746	0.8282	0.7908	0.7708	0.7833	0.6667	0.5550	0.6667	0.7203
182	0.8767	0.8352	0.7822	0.7728	0.7338	0.7234	0.5468	0.7234	0.7286
183	0.8776	0.8387	0.7794	0.7818	0.7000	0.7943	0.5516	0.7943	0.7442
184	0.8747	0.8364	0.7765	0.7668	0.7266	0.7163	0.5348	0.7163	0.7214
185	0.8715	0.8290	0.7736	0.7667	0.7153	0.7305	0.5316	0.7305	0.7228
186	0.8753	0.8250	0.7851	0.7683	0.7619	0.6809	0.5460	0.6809	0.7191
187	0.8752	0.8307	0.8052	0.7863	0.8017	0.6879	0.5859	0.6879	0.7405
188	0.8768	0.8358	0.7822	0.7716	0.7372	0.7163	0.5457	0.7163	0.7266
189	0.8709	0.8310	0.7765	0.7725	0.7114	0.7518	0.5401	0.7518	0.7310
190	0.8737	0.8329	0.7880	0.7730	0.7597	0.6950	0.5536	0.6950	0.7259
191	0.8756	0.8292	0.7794	0.7624	0.7540	0.6738	0.5339	0.6738	0.7116
192	0.8769	0.8361	0.7822	0.7773	0.7211	0.7518	0.5509	0.7518	0.7361
193	0.8763	0.8344	0.7880	0.7719	0.7638	0.6879	0.5525	0.6879	0.7239
194	0.8744	0.8339	0.7822	0.7750	0.7273	0.7376	0.5488	0.7376	0.7324
195	0.8734	0.8283	0.7880	0.7719	0.7638	0.6879	0.5525	0.6879	0.7239
196	0.8711	0.8274	0.7966	0.7779	0.7869	0.6809	0.5682	0.6809	0.7300
197	0.8739	0.8327	0.7880	0.7741	0.7557	0.7021	0.5546	0.7021	0.7279
198	0.8712	0.8287	0.7822	0.7716	0.7372	0.7163	0.5457	0.7163	0.7266
199	0.8760	0.8338	0.7937	0.7835	0.7518	0.7305	0.5696	0.7305	0.7410
